name,file_extension,CREATION_DATETIME,file_size,width,height,format,aspect_ratio,exif_data,category_name
pause familles novembre2022,jpg,2022-11-15 09:34:13,211576,1357,1920,JPEG,0.7067708333333333,"{'ResolutionUnit': 2, 'ExifOffset': 86, 'Orientation': 1, 'YCbCrPositioning': 1, 'XResolution': 96.0, 'YResolution': 96.0, 'ExifVersion': b'0231', 'ComponentsConfiguration': b'\x01\x02\x03\x00', 'FlashPixVersion': b'0100', 'ColorSpace': 65535, 'ExifImageWidth': 1587, 'ExifImageHeight': 2245, 'UserComment': b'ASCII\x00\x00\x00xr:d:DAEoTimRlKk:324,j:39101318162,t:22102607'}",Affiches
thumbnail_Les visites insolites !,jpg,2023-01-25 16:07:35,302550,1356,1920,JPEG,0.70625,,Affiches - Prochainement
thumbnail_Mardis créatifs(2),jpg,2023-01-25 16:08:46,252067,1356,1920,JPEG,0.70625,,Affiches - Prochainement
thumbnail_mercredi famille décembre(1),jpg,2023-01-25 16:09:19,275306,1356,1920,JPEG,0.70625,,Affiches - Prochainement
thumbnail_pause familles décembre(2),jpg,2023-01-25 16:09:45,202918,1356,1920,JPEG,0.70625,,Affiches - Prochainement
thumbnail_vacances de février 2023(1),jpg,2023-01-25 16:10:16,287955,1356,1920,JPEG,0.70625,,Affiches - Prochainement
pause familles,jpg,2023-01-13 11:03:13,203766,1357,1920,JPEG,0.7067708333333333,"{'ResolutionUnit': 2, 'ExifOffset': 86, 'Orientation': 1, 'YCbCrPositioning': 1, 'XResolution': 96.0, 'YResolution': 96.0, 'ExifVersion': b'0231', 'ComponentsConfiguration': b'\x01\x02\x03\x00', 'FlashPixVersion': b'0100', 'ColorSpace': 65535, 'ExifImageWidth': 1587, 'ExifImageHeight': 2245, 'UserComment': b'ASCII\x00\x00\x00xr:d:DAEoTimRlKk:330,j:45128075744,t:23011308'}",Affiches - Prochainement
thumbnail_vacances de février 2023(2),jpg,2023-01-25 16:10:48,244326,1356,1920,JPEG,0.70625,,Affiches - Prochainement
thumbnail_vacances de février 2023(3),jpg,2023-01-25 16:11:22,224937,1356,1920,JPEG,0.70625,,Affiches - Prochainement
thumbnail_100% femmes 20222023(3),jpg,2023-01-25 16:03:03,289885,1356,1920,JPEG,0.70625,,Affiches - Prochainement
vacances de février 2023(4),jpg,2023-01-25 16:12:04,269987,1357,1920,JPEG,0.7067708333333333,"{'ResolutionUnit': 2, 'ExifOffset': 86, 'Orientation': 1, 'YCbCrPositioning': 1, 'XResolution': 96.0, 'YResolution': 96.0, 'ExifVersion': b'0231', 'ComponentsConfiguration': b'\x01\x02\x03\x00', 'FlashPixVersion': b'0100', 'ColorSpace': 65535, 'ExifImageWidth': 1587, 'ExifImageHeight': 2245, 'UserComment': b'ASCII\x00\x00\x00xr:d:DAFUom3ioN8:73,j:2516786971,t:23012510'}",Affiches - Prochainement
thumbnail_atelier informatique 2022-2023,jpg,2023-01-25 16:03:38,302874,1356,1920,JPEG,0.70625,,Affiches - Prochainement
vacances de février 2023(5),jpg,2023-01-25 16:12:38,296229,1357,1920,JPEG,0.7067708333333333,"{'ResolutionUnit': 2, 'ExifOffset': 86, 'Orientation': 1, 'YCbCrPositioning': 1, 'XResolution': 96.0, 'YResolution': 96.0, 'ExifVersion': b'0231', 'ComponentsConfiguration': b'\x01\x02\x03\x00', 'FlashPixVersion': b'0100', 'ColorSpace': 65535, 'ExifImageWidth': 1587, 'ExifImageHeight': 2245, 'UserComment': b'ASCII\x00\x00\x00xr:d:DAFUom3ioN8:74,j:2516833029,t:23012510'}",Affiches - Prochainement
thumbnail_Balade découverte affiches(1),jpg,2023-01-25 16:04:14,477440,1356,1920,JPEG,0.70625,,Affiches - Prochainement
vacances de février 2023(6),jpg,2023-01-25 16:13:12,234737,1357,1920,JPEG,0.7067708333333333,"{'ResolutionUnit': 2, 'ExifOffset': 86, 'Orientation': 1, 'YCbCrPositioning': 1, 'XResolution': 96.0, 'YResolution': 96.0, 'ExifVersion': b'0231', 'ComponentsConfiguration': b'\x01\x02\x03\x00', 'FlashPixVersion': b'0100', 'ColorSpace': 65535, 'ExifImageWidth': 1587, 'ExifImageHeight': 2245, 'UserComment': b'ASCII\x00\x00\x00xr:d:DAFUom3ioN8:75,j:45801125904,t:23012510'}",Affiches - Prochainement
thumbnail_Balade découverte affiches,jpg,2023-01-25 16:04:32,271711,1356,1920,JPEG,0.70625,,Affiches - Prochainement
vacances de février 2023(7),jpg,2023-01-25 16:13:50,321747,1357,1920,JPEG,0.7067708333333333,"{'ResolutionUnit': 2, 'ExifOffset': 86, 'Orientation': 1, 'YCbCrPositioning': 1, 'XResolution': 96.0, 'YResolution': 96.0, 'ExifVersion': b'0231', 'ComponentsConfiguration': b'\x01\x02\x03\x00', 'FlashPixVersion': b'0100', 'ColorSpace': 65535, 'ExifImageWidth': 1587, 'ExifImageHeight': 2245, 'UserComment': b'ASCII\x00\x00\x00xr:d:DAFUom3ioN8:75,j:2516904481,t:23012510'}",Affiches - Prochainement
thumbnail_LCCF+LCJC(1),jpg,2023-01-25 16:05:28,330658,1356,1920,JPEG,0.70625,,Affiches - Prochainement
vacances de février 2023(8),jpg,2023-01-25 16:14:17,238222,1357,1920,JPEG,0.7067708333333333,"{'ResolutionUnit': 2, 'ExifOffset': 86, 'Orientation': 1, 'YCbCrPositioning': 1, 'XResolution': 96.0, 'YResolution': 96.0, 'ExifVersion': b'0231', 'ComponentsConfiguration': b'\x01\x02\x03\x00', 'FlashPixVersion': b'0100', 'ColorSpace': 65535, 'ExifImageWidth': 1587, 'ExifImageHeight': 2245, 'UserComment': b'ASCII\x00\x00\x00xr:d:DAFUom3ioN8:75,j:45801185613,t:23012510'}",Affiches - Prochainement
thumbnail_LCCF+LCJC(1),jpg,2023-01-25 16:06:11,330658,1356,1920,JPEG,0.70625,,Affiches - Prochainement
thumbnail_LCCF+LCJC(2),jpg,2023-01-25 16:06:50,329430,1356,1920,JPEG,0.70625,,Affiches - Prochainement
Repas de Quartier 2023 (1)_page-0001,jpg,2023-03-17 16:35:19,219618,1358,1920,JPEG,0.7072916666666667,,Affiches - Prochainement
100% femmes 20222023(3),jpg,2023-03-21 08:26:46,185906,1357,1920,JPEG,0.7067708333333333,"{'ResolutionUnit': 2, 'ExifOffset': 86, 'Orientation': 1, 'YCbCrPositioning': 1, 'XResolution': 96.0, 'YResolution': 96.0, 'ExifVersion': b'0231', 'ComponentsConfiguration': b'\x01\x02\x03\x00', 'FlashPixVersion': b'0100', 'ColorSpace': 65535, 'ExifImageWidth': 1587, 'ExifImageHeight': 2245, 'UserComment': b'ASCII\x00\x00\x00xr:d:DAFBO0u5NvE:105,j:43613535677,t:23032009'}",Affiches - Prochainement
thumbnail_chasse aux oeufs,jpg,2023-03-24 12:37:38,248494,1356,1920,JPEG,0.70625,,Affiches - Prochainement
thumbnail_château ussé,jpg,2023-03-24 12:38:22,281289,1356,1920,JPEG,0.70625,,Affiches - Prochainement
thumbnail_cuisine en famille,jpg,2023-03-24 12:39:31,271009,1356,1920,JPEG,0.70625,,Affiches - Prochainement
thumbnail_cuisine jardin de cocagne,jpg,2023-03-24 12:40:12,279222,1356,1920,JPEG,0.70625,,Affiches - Prochainement
thumbnail_mardi creatif,jpg,2023-03-27 07:01:54,248321,1356,1920,JPEG,0.70625,,Affiches - Prochainement
thumbnail_jardin des kangourous,jpg,2023-03-24 12:40:44,269904,1356,1920,JPEG,0.70625,,Affiches - Prochainement
thumbnail_médiation animale,jpg,2023-03-24 12:41:48,251406,1356,1920,JPEG,0.70625,,Affiches - Prochainement
thumbnail_sortie cinéma,jpg,2023-03-24 12:42:24,235795,1356,1920,JPEG,0.70625,,Affiches - Prochainement
100% femmes 20222023(3),jpg,2023-03-24 12:31:44,185906,1357,1920,JPEG,0.7067708333333333,"{'ResolutionUnit': 2, 'ExifOffset': 86, 'Orientation': 1, 'YCbCrPositioning': 1, 'XResolution': 96.0, 'YResolution': 96.0, 'ExifVersion': b'0231', 'ComponentsConfiguration': b'\x01\x02\x03\x00', 'FlashPixVersion': b'0100', 'ColorSpace': 65535, 'ExifImageWidth': 1587, 'ExifImageHeight': 2245, 'UserComment': b'ASCII\x00\x00\x00xr:d:DAFBO0u5NvE:105,j:43613535677,t:23032009'}",Affiches - Prochainement
Repas de Quartier 2023 (1)_page-0001,jpg,2023-03-24 12:32:05,219618,1358,1920,JPEG,0.7072916666666667,,Affiches - Prochainement
