name,file_extension,CREATION_DATETIME,Number_of_pages,file_size,content,category_name
MaFacture(1),pdf,2020-02-07 13:19:18,1,34420,"FACTURATION LIVRAISON M. Gilles Guerrin A2Display 1 RUE DE LA CAILLARDIERE  HALL 17 49070 BEAUCOUZEM. Rodolphe Charlot A2Display 1 RUE DE LA CAILLARDIERE   A2Display 49070 BEAUCOUZE Adresse e-mail achat@a2display.fr Numéro de commande 2002041301ONN4B Mode de règlement CBCIC Date de règlement 04/02/2020ID Client 0000000RYHCB Date de commande 04/02/2020 13:01:32 Date de validation 04/02/2020 13:01:42 Date d'envoi N° de colis 04/02/2020 MH971996501JB Votre commande Réf. Libellé Qté PUHT PUTTC PVTTC TVA STMT074101 STANLEY Composition/Coffret outils 38 pièces - STM117,49 Eur 20,99 Eur 20,99 Eur 20,0 % Pour retourner un article, rendez-vous dans la rubrique «Contacter le Service Client» afin d’obtenir un accord de retour. * Frais de préparation de commande incluant les frais de portTOTAL TTC 20,99 Eur AVOIR / CARTE CADEAU 0,00 Eur REMISE 4,20 Eur FRAIS PREPA* 2,99 Eur TOTAL NET TTC 19,78 Eur TVA 20,0 % 3,30 Eur TOTAL HT 16,48 Eur Aucun escompte ne sera appliqué en cas de paiement anticipé.   Cdiscount SA Capital de 6 403 294.38 euros 120-126, Quai de Bacalan CS 11584 33067 Bordeaux CEDEX N°RCS 424 059 822 Bordeaux Siret 424 059 822 00256 N°TVA : FR34424059822 Code NAF : 4791AFACTURE n° 525143243 du 04/02/2020 Cdiscount.com N° RCS : 424059822 Bordeaux",3 images
MiniCatalogueLunettes,pdf,2021-09-30 16:49:18,1,854159,Mini Catalogue Lunettes Junior   Lunettes Decathlon 10€ Lunettes Unihoc Victory 30~35€ plusieurs modèles disponibles Lunettes Salming V1 ~32€ plusieurs modèles disponibles Lunettes Fat Pipe Protective ~28€ plusieurs modèles disponibles Prix au 25 septembre pris sur decathlon.fr et efloorball.net Il est possible de faire une commande groupée par l’intermédiaire du club pour profiter  d’une réduction et partager les frais de port.  Lunettes correctrices de sport  : Alexis Thébaud (Opticien et licencié AAEEC Floorball) peut vous conseiller sur les possibilités d'équipement à la vue. Contact par mail : alexis.thebaud@mfam.fr (Équipement complet à partir de 69€.) ,3 images
eteguingamp,pdf,2019-10-10 13:54:06,24,1647351,"l’été à guingamp EXPOSITIONS • PATRIMOINE • SPECTACLES • ANIMATIONS FESTIVAL DE LA SAINT-LOUP…Gabriele Di Matteo, Photo de plateau 5 , collection Frac Bretagne © Gabriele Di Matteo, crédit photo : Antonio Maniscalcoexpositions",Administration
attestation-jellyfish-1730018_1920,pdf,2020-07-21 14:05:37,1,19473,"Attestation d'affichage des documents visibles et disponibles sur l'afficheur numérique Sur les afficheurs suivants :  Test_Antoine Le document suivant : jellyfish-1730018_1920 Créé le : 7 octobre 2019 à 11:59 A été affiché et rendu visible sur la(les) afficheurs(s) accessible(s) tous les jours, à toutes heures sur la période suivante : du au 7 octobre 2019 à 11:59 22 novembre 2019 à 14:23 Dans la(les) rubriques(s) :  Test_Antoine SlideShow La société A2Display est garante de cette information qui est conforme aux données stockées dans son logiciel. Document généré le : 9 juillet 2020 à 11:03Attesté par : ",Administration
attestation-jellyfish-1730018_1920,pdf,2020-07-19 17:03:08,1,19473,"Attestation d'affichage des documents visibles et disponibles sur l'afficheur numérique Sur les afficheurs suivants :  Test_Antoine Le document suivant : jellyfish-1730018_1920 Créé le : 7 octobre 2019 à 11:59 A été affiché et rendu visible sur la(les) afficheurs(s) accessible(s) tous les jours, à toutes heures sur la période suivante : du au 7 octobre 2019 à 11:59 22 novembre 2019 à 14:23 Dans la(les) rubriques(s) :  Test_Antoine SlideShow La société A2Display est garante de cette information qui est conforme aux données stockées dans son logiciel. Document généré le : 9 juillet 2020 à 11:03Attesté par : ",Administration
Cascading Cache Invalidation — Philip Walton,pdf,2020-07-19 18:34:14,11,214699,"Cascading Cache InvalidationOctober 9, 2019For several years now, pretty much every article published on caching best practices hasrecommended the following two things for deploying JavaScript code in production:Add revision information to the filenames of your assets (usually content hashes)Set far-future expiry or max-age caching headers (so they donʼt have to be revalidatedfor returning visitors)Every bundling tool I know of supports adding content hashes with a simple configurationrule (like the following), and as a result this practice has now become ubiquitous:filename: '[name]-[contenthash].js'The other thing most performance experts recommend is code splitting, which allows youto split your JavaScript code into several separate bundles that can be loaded in parallel oreven on demand.Specifically in regards to caching best practices, one of the many claimed benefits of codesplitting is that changes made to a single source file wonʼt invalidate the entire bundle. Inother words, if a security fix is released for a single npm dependency, and youʼre code-splitting all your node_module dependencies into a separate “vendor” chunk, then onlyyour vendor chunk should have to change.The problem is, when you combine all of these things, it rarely results in effective long-term caching.In practice, changes to one of your source files almost always invalidates more than one ofyour output files—and this happens because youʼve added revision hashes to yourfilenames.PHILIP WALTON Engineer @ GoogleThe problem with revisioning filenamesImagine youʼve built and deployed a website, and youʼve used code splitting so most ofyour JavaScript is loaded on demand.In the following dependency graph, thereʼs a main entry chunk, three asynchronously-loaded dependency chunks (dep1, dep2 and dep3), and then a vendor chunk that includesall the siteʼs node_module dependencies. And in following with caching best practices, allfilenames include revision hashes. A typical JavaScript module dependency treeSince the dep2 and dep3 chunks import modules from the vendor chunk, at the top oftheir generated output code youʼll likely see import statements that looks like this:importimport {...} fromfrom '/vendor-5e6f.mjs';Now consider what happens if the contents of the vendor chunk change.If the contents of the vendor chunk change, then the hash in the filename will have tochange as well. And since the vendor chunkʼs filename is referenced in import statementsin both the dep2 and dep3 chunks, then those import statements will have to change too:",Administration
attestation-jellyfish-1730018_1920,pdf,2020-07-19 18:45:35,1,19473,"Attestation d'affichage des documents visibles et disponibles sur l'afficheur numérique Sur les afficheurs suivants :  Test_Antoine Le document suivant : jellyfish-1730018_1920 Créé le : 7 octobre 2019 à 11:59 A été affiché et rendu visible sur la(les) afficheurs(s) accessible(s) tous les jours, à toutes heures sur la période suivante : du au 7 octobre 2019 à 11:59 22 novembre 2019 à 14:23 Dans la(les) rubriques(s) :  Test_Antoine SlideShow La société A2Display est garante de cette information qui est conforme aux données stockées dans son logiciel. Document généré le : 9 juillet 2020 à 11:03Attesté par : ",Administration
attestation-jellyfish-1730018_1920,pdf,2020-07-20 14:06:12,1,19473,"Attestation d'affichage des documents visibles et disponibles sur l'afficheur numérique Sur les afficheurs suivants :  Test_Antoine Le document suivant : jellyfish-1730018_1920 Créé le : 7 octobre 2019 à 11:59 A été affiché et rendu visible sur la(les) afficheurs(s) accessible(s) tous les jours, à toutes heures sur la période suivante : du au 7 octobre 2019 à 11:59 22 novembre 2019 à 14:23 Dans la(les) rubriques(s) :  Test_Antoine SlideShow La société A2Display est garante de cette information qui est conforme aux données stockées dans son logiciel. Document généré le : 9 juillet 2020 à 11:03Attesté par : ",Administration
MiniCatalogueLunettes,pdf,2019-09-02 08:46:04,1,854159,Mini Catalogue Lunettes Junior   Lunettes Decathlon 10€ Lunettes Unihoc Victory 30~35€ plusieurs modèles disponibles Lunettes Salming V1 ~32€ plusieurs modèles disponibles Lunettes Fat Pipe Protective ~28€ plusieurs modèles disponibles Prix au 25 septembre pris sur decathlon.fr et efloorball.net Il est possible de faire une commande groupée par l’intermédiaire du club pour profiter  d’une réduction et partager les frais de port.  Lunettes correctrices de sport  : Alexis Thébaud (Opticien et licencié AAEEC Floorball) peut vous conseiller sur les possibilités d'équipement à la vue. Contact par mail : alexis.thebaud@mfam.fr (Équipement complet à partir de 69€.) ,All - Thumb
49e665eeb2374fbeb3b2e52cee339b9e,pdf,2020-02-12 14:22:27,1,143204,"ŒUVRE COLLABORATIVE plus d’informations sur  www.chemille-en-anjou.frJUSQU’AU 28 Février,  PARTICIPEZ AUX ATELIERS   DE PIXEL ART ET LOW POLY !",All - Thumb
attestation-jellyfish-1730018_1920,pdf,2020-07-16 10:52:52,1,19473,"Attestation d'affichage des documents visibles et disponibles sur l'afficheur numérique Sur les afficheurs suivants :  Test_Antoine Le document suivant : jellyfish-1730018_1920 Créé le : 7 octobre 2019 à 11:59 A été affiché et rendu visible sur la(les) afficheurs(s) accessible(s) tous les jours, à toutes heures sur la période suivante : du au 7 octobre 2019 à 11:59 22 novembre 2019 à 14:23 Dans la(les) rubriques(s) :  Test_Antoine SlideShow La société A2Display est garante de cette information qui est conforme aux données stockées dans son logiciel. Document généré le : 9 juillet 2020 à 11:03Attesté par : ",All - Thumb
attestation-jellyfish-1730018_1920,pdf,2020-07-18 00:57:45,1,19473,"Attestation d'affichage des documents visibles et disponibles sur l'afficheur numérique Sur les afficheurs suivants :  Test_Antoine Le document suivant : jellyfish-1730018_1920 Créé le : 7 octobre 2019 à 11:59 A été affiché et rendu visible sur la(les) afficheurs(s) accessible(s) tous les jours, à toutes heures sur la période suivante : du au 7 octobre 2019 à 11:59 22 novembre 2019 à 14:23 Dans la(les) rubriques(s) :  Test_Antoine SlideShow La société A2Display est garante de cette information qui est conforme aux données stockées dans son logiciel. Document généré le : 9 juillet 2020 à 11:03Attesté par : ",All - Thumb
