name,file_extension,title,CREATION_DATETIME,Number_of_pages,file_size,content,category_name
depliant canicule,pdf,La canicule et nous (sourds) - Dépliant 2018,2022-06-16 13:40:56,6,1084611,        La canicule et nous          Enfant et adulte : que faut-il faire ? Personne âgée : que faut-il faire ?Mon corps transpire  beaucoup pour garder   la bonne température   (37 ºC). Mon corps transpire peu :  c’est difficile de garder la  bonne température (37ºC).Je bois beaucoup d’eau.  Je mouille ma peau   plusieurs fois par jour   et « je fais de l’air ».Je perds de l’eau : je risque  la déshydratation = danger. La température   de mon corps peut  augmenter : attention =   je suis en danger.,Actu  &  Événements
risque chaleur chez lenfant,pdf,W-3035-001-2106_Dépliant RPVP Canicule - Enfant.pdf,2022-06-16 14:36:53,4,1206395,"Les enfants, notamment ceux âgés de moins de cinq  ans, constituent des populations à risque d’accidents  graves, tels que le coup de chaleur ou la déshydratation rapide.  Ces pathologies, potentiellement sévères, en particulier chez le  nourrisson ou si elles sont associées à une pathologie sous-jacente,  sont pour partie évitables par la prévention. Les professionnels  de santé peuvent réduire les conséquences sanitaires des fortes  chaleurs par une information adaptée à l’état de santé de l’enfant  et aux conditions de vie des familles et par la mise en œuvre de  mesures préventives, au domicile et sur le lieu garde de l’enfant.REPÈRES POUR VOTRE PRATIQUE Repères pour   votre pratique SANTÉ PUBLIQUE FRANCE  / PRÉVENIR LES RISQUES LIÉS AUX FORTES CHALEURS CHEZ L’ENFANT1PRÉVENIR LES RISQUES LIÉS AUX FORTES CHALEURS CHEZ L ’ENFANT Critères de vulnérabilité Pathologie ou traitement médicamenteux Conditions de vie Pertes hydriques cumulées avec la perte liée   à la chaleur : diarrhée, vomissementsProtection du soleil déficiente   (absence de volets ou de rideaux occultant) Fièvre Température intérieure du logement > 28° C Présence d’une pathologie chronique (asthme, mucoviscidose,  drépanocytose, maladies rénales et cardiaques chroniques,  autisme, pathologies neurologiques et psychiatriques…)Absence d’eau potable ou approvisionnement en  boissons non disponible Situation de handicap Traitement médicamenteux au long coursEn dehors du jeune âge, certains enfants sont particulièrement vulnérables à la chaleur en raison de la  présence de pathologies, de traitements médicamenteux ou en lien avec leurs conditions de vie.Au cours de l’été 2019, 1 646 enfants âgés de moins de six ans ont été pris en charge par un service  d’urgence hospitalière pour une pathologie en lien avec la canicule. Une déshydratation a été le principal  motif de consultation (60% des passages) et a nécessité une hospitalisation dans trois quarts des cas.   Le coup de chaleur représentait 40% des passages et a rarement nécessité une hospitalisation (7%).   Les fortes chaleurs contribuent aussi à une augmentation des noyades. Pourquoi les enfants sont-ils vulnérables aux fortes chaleurs ? Avant une vague de fortes chaleurs,  quels conseils donner aux parents ? • Faire le point sur l’aménagement du domicile  -S’assurer du bon fonctionnement des stores,  volets, rideaux   -Envisager la possibilité d’aménager la pièce la  plus fraîche pour l’enfant   -En l’absence de possibilité d’aménagement du  domicile, envisager de séjourner dans un autre  logement frais : famille, amis… • S’assurer qu’ils disposent du matériel  nécessaire pour rafraichir et protéger l’enfant  -Aérosol(s) d’eau   -Ventilateur(s) en état de marche  -Vêtements adaptés (légers, amples, de couleur  claire)  • Leur demander de vérifier la boîte à  pharmacie  -Thermomètre médical (non frontal car non  fiable en cas de pathologie liée à la chaleur)  -Paracétamol   -Solution de réhydratation orale (SRO)  -Pour les enfants sous traitement au long  cours, vérifier sur les notices les modalités de  conservation et les risques éventuels en cas de  fortes chaleurs. Au moindre doute, demander  conseil au prescripteur ou au pharmacien Pour en savoir plus : canicule et produits  de santé (Agence nationale de sécurité des  médicaments )  Pendant une vague de fortes chaleurs,  quels conseils donner aux parents ?  • Limiter l’augmentation de température de  l’habitation   -En journée, laisser les fenêtres et les volets  (rideaux, stores…) fermés  -Éviter d’utiliser des appareils chauffants,   y compris pour la cuisine  -Dès que la température extérieure est  inférieure à la température intérieure : ouvrir  les fenêtres et faire des courants d’air en  laissant ouvertes, les persiennes Pour éviter les défene strations accidentelles,  rappelez de ne jamais laisser, même quelques  secondes, un enfant seul près d’une fenêtre  ouverte ou sur un balc on. • Comment limiter autant que possible  l’exposition de l’enfant aux fortes chaleurs  A l’intérieur  -Garder l’enfant dans la pièce la plus fraîche  du domicile  -Laisser les bébés en simple couche et, les  plus grands, en sous-vêtements (sans les  recouvrir d’un drap ou d’une couverture)  -Privilégier les activités calmes, tout en évitant  une surexposition aux écrans. En l’absence de  rafraîchissement possible dans l’habitation,  on peut conseiller de passer plusieurs heures  par jour dans un lieu public frais proche de  son domicile, voire de séjourner dans un autre  logement (famille, amis...)  En extérieur  -Éviter d’être dehors avec l’enfant aux  heures les plus chaudes de la journée,  particulièrement s’il s’agit d’un nourrisson.   Préférer les sorties le matin avant 11 heures  ou le soir après 21 heures  -Si une sortie se fait en journée, conseiller  aux parents de vêtir l’enfant légèrement en  préférant des vêtements amples, légers,  de couleur claire, couvrant, sans oublier  un chapeau à large bord, des lunettes de  soleil avec une protection adaptée et de la  crème solaire (indice de protection élevé)  sur les zones découvertes, rester à l‘ombre  le plus possible. Protéger les bébés dans  les poussettes ou les porte-bébés dorsaux  des rayons directs du soleil. Pour les bébés  en porte-bébés éviter l’enfouissement des  voies aériennes supérieures (nourrissons  de moins de 4 mois). Éviter les activités  physiques aux heures chaudes de la journée En voiture  -Prévoir d’emporter pour tout déplacement  en voiture des quantités d’eau suffisantes   Rappeler aux parents qu’un jeune enfant ne  doit jamais être laissé dans une pièce mal  ventilée ou un véhicule, même pendant une  très courte durée. • Rafraîchir l’enfant régulièrement Proposer des bains tièdes (de l’ordre de 2°C  de moins que la température corporelle)  fréquemment dans la journée sans sécher  l‘enfant. Penser à mouiller les vêtements,  SANTÉ PUBLIQUE FRANCE  / PRÉVENIR LES RISQUES LIÉS AUX FORTES CHALEURS CHEZ L’ENFANT2",Actu  &  Événements
ENEDIS_coupure_22-06_place du Vally_et rues du Gd Trotrieux et Pt Trotrieux,pdf,,2022-06-16 15:30:38,2,94734,,Actu  &  Événements
ENEDIS_coupures_12-01-2021_secteur haut Gare,pdf,,2021-11-30 10:13:08,1,65211,,Actu  &  Événements
2022-03-29-lettre-prefet-aux-maires-influenza-aviaire,pdf,SKonica Cab22033015190,2022-03-31 09:52:43,2,145080,,Actu  &  Événements
22-03-24_CP info pollution atmo PM10 pour le 25-03-2022.odt,pdf,22-03-24_CP info pollution atmo PM10 pour le 25-03-2022.odt,2022-03-25 10:48:24,4,134184,"COMMUNIQUÉ DE PRESSE    Saint-Brieuc, le 24 mars 2022 Communiqué du 24 mars 2022 à 18h00 pour un épisode de pollution atmosphérique par PM 10  Déclenchement d’une procédure d’information-recomma ndation Niveau de procédure déclenchée  pour aujourd’hui : néant pour demain : IR Date et heure de mises en œuvre des mesures : vendr edi 25 mars de 0H à 24H. Nature de l’épisode de pollution et évolution En raison des prévisions de dégradation de la qualité de l’ai r ambiant, indiquant un niveau élevé de PM 10, la procédure d’information-recommandation est activée p our l’ensemble du département, pour la journée du vendredi 25 mars 20 22. Rappels sanitaires La pollution atmosphérique a des effets sur la sant é, même en dehors des épisodes de pollution. Toutefois, les pics de pollution peuvent entraîner l’appar ition ou l’aggravation de divers symptômes (allergies, asthme, irritation des voies respir atoires, effets cardio-pulmonaires…) notamment chez les personnes les plus vulnérables (les nour rissons et jeunes enfants, les femmes enceintes, les personnes âgées, les personnes asthmatique s ou souffrant de pathologies cardiovasculaires ou respiratoires) et les personnes sens ibles aux pics de pollution et / ou dont les symptômes apparaissent ou sont amplifiés lors des pics (per sonnes diabétiques, immunodéprimées, souffrant d’affections neurologiqu es ou à risque cardiaque, …). Place du général de Gaulle 22023 Saint-Brieuc cedex 1 Tél : 02.96.62.43.02 Mél : pref-communication@cotes-darmor.gouv.fr1/4Recommandations sanitaires Pour les personnes vulnérables ou sensibles *  :  •en cas de gêne respiratoire ou cardiaque, prenez conseil aup rès d'un professionnel de santé ; •privilégiez des sorties plus brèves et celles qui d emandent le moins d'effort ; •prenez conseil auprès de votre médecin pour savoir si votre t raitement médical doit être adapté le cas échéant. •évitez les zones à fort trafic routier, aux période s de pointe ; •privilégiez les activités modérées. Pour la population générale     :   •en cas de gêne respiratoire ou cardiaque, prenez conseil aup rès d'un professionnel de santé ; •privilégiez des sorties plus brèves et celles qui d emandent le moins d'effort ; •réduisez,voirereportez,lesactivitésphysiquesetsport ivesintenses(quiobligentà respirer par la bouche), dont les compétitions.  Il convient de maintenir les pratiques habituelles de venti lation et d’aération (la situation, lors d’un épisode de pollution, ne justifie pas des mesures de con finement) et de ne pas aggraver les effets de cette pollution en s’exposant à des facteurs irrit ants supplémentaires : fumée de tabac, utilisation de solvants en espace intérieur, chauff age au bois, exposition aux pollens en saison, … *Personnes vulnérables     :  femmes enceintes, nourrissons et jeunes enfants, personne s de plus de 65 ans, personnes asthmatiques, personnes souffrant de car diologies cardiovasculaires, insuffisants cardiaques ou respiratoires,… *Personnes sensibles  : personnes se reconnaissant comme sensibles lors des pics de pollution et/ou dont les symptômes apparaissent ou sont amplifiés l ors des pics , par exemple les personnes diabétiques ou immunodéprimées, les personnes souff rant d’affections neurologiques ou à risques cardiaques , respiratoires, infectieux Recommandations tout public Prise d’effet : le 25 mars 2022 1. Recommandations générales •Suspendre l’utilisation d’appareils de combustion de biom asse non performants ou groupes électrogènes, en particulier évitez l’utilisatio n, en chauffage d’agrément, des cheminées à foyers ouverts ou des poêles et inserts  anciens. •Reporter les travaux d’entretien ou de nettoyage effectués par la population ou les collectivités territoriales avec des outils non éle ctriques (tondeuses, taille-haie…). •Maîtrisez la température de votre logement ou de vo tre lieu de travail. •Pour mémoire, le brûlage à l’air libre de déchet est interdit toute l’année. Cette pratique est sanctionnable. Apportez les déchets verts en déchetter ie où ils pourront être recyclés ou valorisés. Place du général de Gaulle 22023 Saint-Brieuc cedex 1 Tél : 02.96.62.43.02 Mél : pref-communication@cotes-darmor.gouv.fr2/4",Actu  &  Événements
22-03-25_CP alerte pollution atmo PM10 _ compter 26-03-2022.odt,pdf,22-03-25_CP alerte pollution atmo PM10 pour le 26-03-2022.odt,2022-03-28 10:10:41,4,126056,"COMMUNIQUÉ DE PRESSE    Saint-Brieuc, le 25 mars 2022 Communiqué du 25 mars 2022 à 16h00 pour un épisode de pollution atmosphérique par PM 10  Déclenchement d’une procédure d’alerte Niveau de procédure déclenchée  pour aujourd’hui  : IR pour demain  : alerte Date et heure de mises en œuvre des mesures : du sa medi 26 mars 2022 jusqu’à nouvel ordre. Nature de l’épisode de pollution et évolution En raison des prévisions de dégradation de la qualité de l’ai r ambiant, indiquant un niveau élevé de PM 10, la procédure d’alerte est activée pour l’ensemble du dépar tement, à compter de ce samedi 26 mars. Cet épisode de pollution est imputable à la combinaison de co nditions météorologiques favorables à l’accumulation de polluants dans l’atm osphère. Rappels sanitaires La pollution atmosphérique a des effets sur la sant é, même en dehors des épisodes de pollution. Toutefois, les pics de pollution peuvent entraîner l’appar ition ou l’aggravation de divers symptômes (allergies, asthme, irritation des voies respir atoires, effets cardio-pulmonaires…) notamment chez les personnes les plus vulnérables (les nour rissons et jeunes enfants, les femmes enceintes, les personnes âgées, les personnes asthmatique s ou souffrant de pathologies cardiovasculaires ou respiratoires) et les personnes sens ibles aux pics de pollution et / ou dont les symptômes apparaissent ou sont amplifiés lors des pics (per sonnes diabétiques, immunodéprimées, souffrant d’affections neurologiqu es ou à risque cardiaque, …). Place du général de Gaulle 22023 Saint-Brieuc cedex 1 Tél : 02.96.62.43.02 Mél : pref-communication@cotes-darmor.gouv.fr1/4Recommandations sanitaires Pour les personnes vulnérables ou sensibles *  :  •en cas de gêne respiratoire ou cardiaque, prenez conseil aup rès d'un professionnel de santé ; •privilégiez des sorties plus brèves et celles qui d emandent le moins d'effort ; •prenez conseil auprès de votre médecin pour savoir si votre t raitement médical doit être adapté le cas échéant. •évitez les zones à fort trafic routier, aux période s de pointe ; •privilégiez les activités modérées. Pour la population générale     :   •en cas de gêne respiratoire ou cardiaque, prenez conseil aup rès d'un professionnel de santé ; •privilégiez des sorties plus brèves et celles qui d emandent le moins d'effort ; •réduisez,voirereportez,lesactivitésphysiquesetsport ivesintenses(quiobligentà respirer par la bouche), dont les compétitions.  Il convient de maintenir les pratiques habituelles de venti lation et d’aération (la situation, lors d’un épisode de pollution, ne justifie pas des mesures de con finement) et de ne pas aggraver les effets de cette pollution en s’exposant à des facteurs irrit ants supplémentaires : fumée de tabac, utilisation de solvants en espace intérieur, chauff age au bois, exposition aux pollens en saison, … *Personnes vulnérables     :  femmes enceintes, nourrissons et jeunes enfants, personne s de plus de 65 ans, personnes asthmatiques, personnes souffrant de car diologies cardiovasculaires, insuffisants cardiaques ou respiratoires,… *Personnes sensibles  : personnes se reconnaissant comme sensibles lors des pics de pollution et/ou dont les symptômes apparaissent ou sont amplifiés l ors des pics , par exemple les personnes diabétiques ou immunodéprimées, les personnes souff rant d’affections neurologiques ou à risques cardiaques , respiratoires, infectieux. Recommandations tout public Prise d’effet : à compter du samedi 26 mars 2022 ju squ’à nouvel ordre 1. Recommandations générales •Suspendre l’utilisation d’appareils de combustion d e biomasse non performants ou groupes électrogènes, en particulier évitez l’utilisation, en chauffage d’agrément, des cheminées à foyers ouverts ou des poêles et inserts anciens. •Reporter les travaux d’entretien ou de nettoyage effectués par la population ou les collectivités territoriales avec des outils non éle ctriques (tondeuses, taille-haie…). •Maîtrisez la température de votre logement ou de vo tre lieu de travail. •Pour mémoire, le brûlage à l’air libre de déchet est interdit toute l’année. Cette pratique est sanctionnée. Apportez les déchets verts en déchetterie où ils pourront être recyclés ou valorisés. Place du général de Gaulle 22023 Saint-Brieuc cedex 1 Tél : 02.96.62.43.02 Mél : pref-communication@cotes-darmor.gouv.fr2/4",Actu  &  Événements
GPA_avis_enquete_publique PLUi_du 13-03 au 12-04-2023,pdf,AFFICHE_GPA_VE_DEUX.ai,2023-02-16 09:47:55,1,93656,"Objet de l’enquête : Par arrêté n°2023-001 en date du 3 février 2023, Monsieur le Pr ésident de Guingamp-Paimpol AggloméraƟon a ordonné l’ouverture d’une enquête publique sur le projet d’élaboraƟon du Plan  Local d’Urbanisme intercommunal (PLUi) de Guingamp-Paimpol Aggl oméraƟon. Le PLUi est un document de planiﬁcaƟon de l’aménagement à l’éch elle intercommunale qui, à compter de son approbaƟon, couvrira l’ensemble des 57 communes d’un document d’urbanisme unique en lieu et  place des documents d’urbanisme communaux actuellement en vigue ur. Il tracera les grandes lignes de l’aménagement à travers un  projet de territoire partagé et déﬁnira des droits à construir e à l’échelle de  chaque parcelle. L’élaboraƟon du Plan Local d’Urbanisme interco mmunal de Guingamp-Paimpol AggloméraƟon a été soumis à évaluaƟo n environnementale. Au terme de l’enquête publique, le Plan Local d’Urbanisme inter communal de Guingamp-Paimpol AggloméraƟon, éventuellement modiﬁ é pour tenir compte des avis joints au dossier d’enquête publiq ue, des  observaƟons du public formulées lors de l’enquête publique, du rapport et de l’avis moƟvé de la commission d’enquête, sera sou mis à l’approbaƟon du Conseil d’ AggloméraƟon. Date et durée de l’enquête publique :  l’enquête publique, d’une durée de trente et un (31) jours con sécuƟfs, dont le siège sera situé à l’accueil de Guingamp-Paimp ol AggloméraƟon à Guingamp, se déroulera du Lundi 13 mars 2023 à 9h00 jusqu’au Mercredi 12 avril 2023 à 12h 00 DésignaƟon de la commission d’enquête : Par décision n° E220001 68/35 en date du 8 novembre 2022, complétée par décision en date du 3 0 janvier 2023, Monsieur le Président du Tribunal AdministraƟf de  Rennes a désigné : - Présidente de la commission d’enquête : Madame Marie-Jacquel ine MARCHAND, maître de conférence en économie à l’université d e Rennes I en retraite ;  - Membres Ɵtulaires : Mme Catherine BLANCHARD, ingénieure prin cipale de la foncƟon publique territoriale en retraite, et Mme Marie-Isabelle PERAIS, ingénieure de l’agriculture et de l’envi ronnement en  retraite. Dossier d’enquête publique: Le dossier mis en enquête est composé comme suit :  - Une noƟce générale portant menƟon des textes régissant l’enq uête publique et indiquant la façon dont ceƩe enquête s’insère dans la procédure d’élaboraƟon du Plan Local d’Urbanisme interc ommunal    de Guingamp-Paimpol AggloméraƟon ; - Les pièces du projet de Plan Local d’Urbanisme intercommunal  (PLUi) de Guingamp-Paimpol AggloméraƟon. Sont également joints au dossier d’enquête publique : - L’avis de la mission régionale d'autorité environnementale d e Bretagne ;  - Les avis émis par les communes membres de la Communauté d’ag gloméraƟon ainsi que ceux émis par les personnes publiques asso ciées, les personnes consultées notamment la CDPENAF et CDNPS ;  - Un registre d’enquête à feuillets non mobiles, côté et parap hé par la commission d’enquête. Modalités de la mise à disposiƟon du dossier au public : Le dossier d’enquête publique est tenu à disposiƟon du public s ous forme dématérialisée et sur support papier. Le dossier sur support papier peut être consulté dans les lieux  suivants, aux jours et heures d’ouvertures habituels, hors fer metures excepƟonnelles :  - à l’accueil de Guingamp-Paimpol AggloméraƟon, situé 3 rue Au guste Pavie à Guingamp, du lundi au vendredi, de 9h00-12h00 et 13h30-17h00  - à la Mairie, 2 rue de la Résistance à Bégard, les lundi, mar di, mercredi et vendredi : 8h30 à 12h00 et de 13h30 à 17h30, le  jeudi de 8h30 à 12h00, le samedi de 9h00 à 12h00  - à la Mairie, 11 place du centre à Bourbriac, les lundi, merc redi, jeudi et vendredi : 8h30 à 12h00 et de 13h30 à 17h30, le mardi: 8h30 à 12h00, le samedi : 9h00 à 12h00  - à la Mairie, place Jean Auﬀret à Callac, les lundi, mercredi , jeudi et vendredi de 8h30 à 12h00 et de 14h00 à 17h00, le mar di de 8h30 à 12 h, le samedi de 9h00 à 12h00  - à la Mairie, 10 rue Pierre Feutren à Paimpol du lundi au ven dredi de 9h00 à 12h30 et de 13h30 à 17h30  - à la Mairie, place de la Liberté à Pontrieux, du lundi au me rcredi de 08h30 à 12h00 et de 13h30 à 17h30, le jeudi de 08h30 à 12h00, le vendredi de 08h30 à 12h00 et de 13h30 à 17h00, le s amedi : de   10h00 à 12h00Le dossier d’enquête publique est également tenu à disposiƟon : - sur un poste informaƟque mis à disposiƟon du public à l’accu eil de l’aggloméraƟon, situé 3 rue Auguste Pavie à Guingamp   - à tout moment, durant toute la période de l’enquête, en lign e, sur le site de la Guingamp Paimpol AggloméraƟon: hƩps://www.guingamp-paimpol-agglo.bzh/plan-local-durbanisme-int ercommunal/   et sur le site : hƩps://www.democraƟe-acƟve.fr/enquetepublique-plui-gpa/ Recueil des observaƟons et proposiƟons du public :  Les observaƟons et proposiƟons du public portant sur le dossie r d’enquête publique unique peuvent être :  - par voie informaƟque à travers le formulaire du registre dém atérialisé de l’enquête publique accessible à l’adresse suivant e :  hƩps://www.democraƟe-acƟve.fr/enquetepublique-plui-gpa/ ;  - consignées sur les registres papier mis à disposiƟon du publ ic dans les lieux d’enquête susvisés, notamment lors des perman ences ;  - adressées par courrier postal à : Mme la Présidente de la Co mmission d’enquête publique à l’adresse suivante Guingamp-Paimp ol AggloméraƟon, 11 rue de la Trinité, 22200 Guingamp ;  - adressées par courrier électronique à l’adresse suivante : enquetepublique-plui-gpa@democraƟe-acƟve.fr , le contenu (observaƟon, proposiƟons et éventuelles annexes) d evra être transmis par pièce   jointe, au format type (PDF, JPEG). Accueil du public par la commission d’enquête : Un membre de la commission d’enquête se Ɵendra à la disposiƟon des personnes intéressées et recevra les observaƟons et les pro posiƟons du public dans le cadre  des permanences assurées aux jours et dates ci-dessous : - à l’accueil de Guingamp-Paimpol AggloméraƟon : le Lundi 13 m ars (14h00 à 17h00) / Mercredi 22 mars (14h00 à 17h00) / Samedi  1er avril (9h00 à 12h00) / Jeudi 6 avril (14h00 à 17h00) / Mer credi 12    avril (9h00 à 12h00) - à la Mairie de Bégard : le Mardi 14 mars (9h00 à 12h00) / Je udi 23 mars (9h00 à 12h00) / Vendredi 7 avril (9h00 à 12h00)  - à la Mairie de Bourbriac : le Jeudi 23 mars (14h00 à 17h00) / Jeudi 6 avril (14h00 à 17h00)  - à la Mairie de Callac : le Lundi 13 mars (14h00 à 17h00) / J eudi 23 mars (9h00 à 12h00) / Vendredi 7 avril (9h00 à 12h00)   - à la Mairie de Paimpol : le Mardi 14 mars (9h00 à 12h00 - ma irie) / Samedi 25 mars (9h00 à 12h00 – salle feutren) / Vendred i 31 mars (14h00 à 17h00 - mairie) / Mercredi 5 avril (14h00 à 17h00   mairie) / Mardi 11 avril (14h00 à 17h00 - mairie) - à la Mairie de Pontrieux : le Vendredi 24 mars (14h00 à 17h0 0) / Jeudi 6 avril (9h00 à 12h00)  - permanence téléphonique : le Mercredi 22 mars (9h00 à 12h00)Les prises de rdv à la permanence téléphonique s’eﬀectuent aupr ès du service urbanisme de l’aggloméraƟon par mail adressé à ur banisme@guingamp-paimpol.bzh, avant le 20 mars. InformaƟons complémentaires : La personne responsable du projet d’élaboraƟon du Plan Local d’ Urbanisme intercommunal (PLUi) est Guingamp-Paimpol AggloméraƟo n, représentée par son président M. Vincent  LE MEAUX. Toute informaƟon sur le dossier d’enquête publique peut être de mandée auprès du service urbanisme-droit des sols de Guingamp-P aimpol AggloméraƟon, par mail à urbanisme@guingamp-paimpol.bzh. Une copie de ces pièces et observaƟons du public pourra être ob tenue pendant toute la durée de l’enquête, aux frais du demande ur, sur demande à Monsieur le Président de Guingamp-Paimpol Agg loméraƟon,  service urbanisme-droit des sols, 11 rue de la Trinité, 22200 G uingamp. Conclusions de l’enquête publique : À l’issue de l’enquête publique, les registres clos et collecté s seront mis à disposiƟon des membres de la Commission d’enquêt e sans délai. Suite à ceƩe clôture, dans un délai  de huit jours à compter de la récepƟon des registres, documents  annexés et de l’ensemble des pièces du dossier par la Commissi on, ses membres rencontreront le responsable du projet et lui c ommuniqueront les  observaƟons écrites et orales consignées dans un procès-verbal de synthèse remis sur support numérique au format PDF. Le respo nsable disposera d’un délai de quinze (15) jours pour produire ses observaƟons  éventuelles. Rapport et conclusion de la commission : La Commission d’enquête dispose d’un délai de trente jours à co mpter de la date de récepƟon des registres, après clôture de l’ enquête publique, aﬁn de transmeƩre au  Président de la Communauté d’aggloméraƟon son rapport et les co nclusions moƟvées de ceƩe enquête sur support numérique, au for mat PDF. Ils seront tenus à disposiƟon du public pendant un (1)  an à compter  de la remise du rapport et des conclusions par la présidente de  la commission d’enquête :  - par voie dématérialisée sur le site de Guingamp Paimpol Aggl oméraƟon : hƩps://www.guingamp-paimpol-agglo.bzh/plan-local-durbanisme-int ercommunal/ ;  - sur le site : hƩps://www.democraƟe-acƟve.fr/enquetepublique-plui-gpa/ ;  - au siège de l’aggloméraƟon et dans les communes désignées co mme lieux d’enquête ;  - à la Préfecture des Côtes d’ Armor. CondiƟons d’accès aux lieux d’enquête publique et protocole san itaire : Les mesures sanitaires suivantes liées au Covid-19 seront mises  en place et respectées pendant toute la durée de l’enquête pub lique :  - mesures de distanciaƟon sociale (respect d’une distance d’au  moins 1 mètre entre les personnes et du sens de circulaƟon), g el hydro-alcoolique, et port du masque recommandé ;  - chaque administré est invité à se munir d’un stylo s’il souh aite apporter des remarques au registre.AVIS D’ENQUÊTE PUBLIQUE RELATIVE À L’ÉLABORATION DU PLAN LOCAL D’URBANISME INTERCOMMUNA L DE GUINGAMP-PAIMPOL AGGLOMÉRATION",Actu & Événements
SNCF_entretien_vegetation_Rennes_Brest_Guingamp_St-Agathon_et_Plouagat,pdf,Entretien de la végétation Rennes - Brest Guingamp St Agathon et Plouagat .indd,2022-06-17 07:50:37,1,98670,"SNCF Réseau réalise des travaux de maîtrise de la  végétation sur la ligne Rennes - Brest.  Du 20 au 24 juin 2022, le chantier se situera sur l es  communes de Guingamp, Saint-Agathon et Plouagat.  Aﬁ  n de limiter les impacts sur les circulations vo yageurs,  ces travaux se dérouleront en semaine du lundi soir au  vendredi matin, de nuit, de 21h30 à 5H30.  Il s’agit pour SNCF Réseau, gestionnaire du réseau fe rré  national, de garantir la sécurité et la régularité des trains  et de protéger les installations ferroviaires (catén aires,  signalisation, télécommunications, etc...).  Ces travaux génèrent du bruit lié au fonctionnement  des engins. Conscient des nuisances sonores  occasionnées, SNCF Réseau remercie les riverains pou r leur compréhension. LIGNE RENNES - BREST COMMUNES DE GUINGAMP , SAINT-AGATHON ET PLOUAGAT Du 20 juin au 24 juin 2022 QUELS BÉNÉFICES ? Préserver la sécurité des voyageurs, des  agents et des circulations ferroviaires : Assurer le bon fonctionnement des  installations, la visibilité pour les conducteurs,  un cheminement sans danger pour les agents  lors des visites, l’évacuation des voyageurs et  l’accès aux secours en cas d’urgence. Garantir la ponctualité des trains : Eviter les suppressions ou retards de trains  imputés à la végétation (chute de feuilles  mortes, heurts d’animaux, incendies aux  abords des voies...)ENTRETIEN DE LA VEGETATION  AUX ABORDS DE LA VOIE FERREE Pour en savoir plus, rendez-vous sur www.sncf-reseau.com         ou contactez nous à l’adresse maitrisevegetationbzh@reseau.sncf.fr ",Actu & Événements
ENEDIS_coupure_22-06_place du Vally_et rues du Gd Trotrieux et Pt Trotrieux,pdf,,2022-06-17 07:22:41,2,94734,,Actu & Événements
